"category","index","accuracy"
"Model 9","10512","4"
"Model 10","1628","4"
"Model 9","35","4"
"Model 10","7011","4"
"Actual","1295","1"
"Model 9","14256","4"
"Model 10","7370","3"
"Model 10","11215","3"
"Model 10","185","4"
"Actual","12495","2"
"Model 9","13057","2"
"Actual","8224","1"
"Model 9","1029","3"
"Actual","897","4"
"Model 10","6692","2"
"Actual","10356","2"
"Model 10","1810","1"
"Model 9","7371","4"
"Model 9","4237","1"
"Model 10","7617","4"
"Model 10","6499","1"
"Actual","4228","0"
"Model 10","3639","3"
"Model 10","11961","1"
"Model 9","14665","4"
"Model 9","5362","1"
"Model 10","4302","4"
"Model 10","642","2"
"Model 10","10893","2"
"Model 10","3931","4"
"Model 10","12226","4"
"Model 9","5823","1"
"Actual","4675","2"
"Model 9","749","2"
"Model 9","4522","2"
"Model 9","8639","1"
"Actual","3631","3"
"Actual","4660","3"
"Actual","11041","0"
"Actual","11637","4"
"Model 10","1253","4"
"Actual","8446","4"
"Actual","2132","2"
"Actual","1049","1"
"Actual","13935","2"
"Model 10","9309","2"
"Actual","14542","4"
"Model 10","3329","2"
"Model 9","11876","2"
"Actual","627","4"
"Model 9","7345","1"
"Actual","7627","4"
"Model 10","8089","2"
"Model 10","7384","2"
"Model 10","9187","1"
"Model 10","10884","2"
"Actual","10230","1"
"Model 9","4365","4"
"Model 9","13832","2"
"Model 9","9464","4"
"Model 9","2298","1"
"Model 10","10312","2"
"Model 10","9738","4"
"Model 10","3497","1"
"Actual","11378","1"
"Model 10","13567","4"
"Actual","3694","3"
"Model 10","2675","4"
"Model 10","8974","4"
"Actual","10588","1"
"Model 9","10152","1"
"Model 9","4504","4"
"Model 10","5265","4"
"Model 10","14204","3"
"Model 10","13016","2"
"Model 10","12324","1"
"Actual","9539","2"
"Model 10","12495","2"
"Actual","4873","4"
"Model 10","6755","4"
"Model 9","11594","1"
"Model 9","2128","3"
"Actual","1177","1"
"Actual","792","3"
"Model 9","5041","3"
"Actual","2356","3"
"Model 10","13517","4"
"Model 9","7776","4"
"Model 9","13016","2"
"Model 10","4227","1"
"Model 10","3891","2"
"Model 9","405","4"
"Actual","11646","3"
"Actual","11508","3"
"Model 9","6955","4"
"Actual","430","3"
"Model 9","6017","4"
"Actual","9885","3"
"Model 10","12288","3"
"Model 9","2574","2"
"Model 10","4815","2"
"Model 10","11231","1"
"Actual","1956","3"
"Model 9","8636","4"
"Model 9","14362","2"
"Model 9","3116","1"
"Model 10","10849","4"
"Actual","2434","4"
"Model 9","2293","4"
"Model 9","1060","1"
"Model 10","8755","4"
"Actual","3505","3"
"Model 9","11930","3"
"Actual","5386","2"
"Model 10","3906","2"
"Model 9","5714","4"
"Model 9","6197","3"
"Model 9","11528","1"
"Actual","7252","1"
"Actual","13142","4"
"Model 10","6192","4"
"Model 9","771","2"
"Actual","6559","1"
"Actual","6525","3"
"Model 9","3160","3"
"Model 9","13183","2"
"Model 9","11045","4"
"Actual","9113","1"
"Actual","3829","4"
"Model 10","13832","1"
"Actual","9956","2"
"Model 9","8447","4"
"Model 10","5232","4"
"Model 9","4670","3"
"Actual","14538","1"
"Actual","10730","2"
"Model 9","14715","2"
"Actual","4152","2"
"Model 9","8900","1"
"Model 9","7048","4"
