Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,VideoAmt,PhotoAmt,AdoptionSpeed,optimized_word_count,Fee_bins
2,3,299,0,1,1,7,0,1,1,2,2,2,1,1,0,1.0,2,39,2
2,1,265,0,1,1,2,0,2,2,3,3,3,1,1,0,2.0,0,14,0
1,1,307,0,1,2,7,0,2,2,1,1,2,1,1,0,7.0,3,42,0
1,4,307,0,2,1,2,0,2,1,1,1,2,1,1,0,8.0,2,17,3
1,1,307,0,1,1,0,0,2,1,2,2,2,1,1,0,3.0,2,43,0
2,3,266,0,2,5,6,0,2,1,2,2,2,1,1,0,2.0,2,11,0
2,12,264,264,1,1,0,0,2,3,2,2,3,1,1,0,3.0,1,41,5
1,0,307,0,2,1,2,7,2,1,2,2,2,1,6,0,9.0,3,15,0
2,2,265,0,2,6,0,0,2,2,2,2,2,1,1,0,6.0,1,10,0
2,12,265,0,2,1,7,0,2,2,3,3,3,1,1,0,2.0,4,25,0
1,2,307,0,1,1,2,7,2,1,2,1,2,1,1,0,7.0,1,8,0
2,3,264,0,2,1,2,5,3,3,1,1,2,1,1,0,2.0,1,67,1
1,2,307,0,1,2,5,6,2,3,1,1,2,1,1,0,1.0,2,28,0
2,2,265,0,3,1,6,7,1,2,2,2,3,1,6,0,1.0,1,58,0
1,3,307,0,2,2,5,7,2,2,3,3,3,1,1,0,2.0,2,60,0
1,78,218,205,1,1,7,0,2,2,3,3,3,1,1,0,2.0,4,36,0
2,6,266,0,2,2,0,0,1,1,1,1,1,1,1,0,1.0,3,5,0
1,8,307,307,2,2,0,0,2,1,2,1,1,1,1,0,2.0,4,50,1
1,2,307,0,2,1,0,0,2,1,2,1,2,1,1,0,8.0,2,69,0
2,1,266,0,3,1,2,7,1,1,2,2,2,1,5,0,1.0,4,76,0
1,12,307,0,2,2,7,0,2,2,2,1,1,1,1,0,7.0,2,46,0
1,3,307,0,2,6,0,0,2,1,2,1,2,1,3,0,5.0,4,9,0
2,0,114,0,3,3,6,7,2,2,2,2,3,1,6,0,0.0,4,15,0
