Feature Names,Importances
word_count,0.1891848531578467
Age,0.11079852420092362
PhotoAmt,0.10947971407008213
Color2,0.07089213440869979
Breed1,0.06953797363849167
Color1,0.06926315669085968
Breed2,0.04773870371057317
FurLength,0.039780475203142325
Gender,0.03869635338150632
MaturitySize,0.036001662685348795
Quantity,0.03553239685658428
Color3,0.03487738411111796
Dewormed,0.03170487529612327
Fee_bins,0.031681862465308394
Vaccinated,0.029091855558974804
Sterilized,0.02784227992968062
VideoAmt,0.010184593362058953
Health,0.008948783506004787
Type,0.008762417766672874
